開標日期,證券名稱,證券代號,發行市場,發行性質,競拍方式,競拍數量(張),最低投標價格(元),最低每標單投標數量(張),最高投(得)標數量(張),保證金成數(%),每一投標單投標處理費(元),撥券日期(上市、上櫃日期),主辦券商,得標總金額(元),得標手續費率(%),總合格件,合格投標數量(張),最低得標價格(元),最高得標價格(元),得標加權平均價格(元),承銷價格(元),投標最後一天平均成交價,撥券日開盤價,可轉債個股投標最後一天均價
2019/12/11,明達醫,6527,櫃檯買賣,初上櫃,美國標,"1,943",52.5,1,272,50,400,2019/12/25,凱基,"141,691,790",5,"2,650","25,483",71.68,80.8,72.92,58.8,68.66,81.5,
2019/12/5,惠特科技,6706,集中交易市場,初上市,美國標,"4,144",50,1,537,50,400,2019/12/19,凱基,"294,659,570",5,"3,732","37,428",69.9,102.5,71.11,56,80.51,80,
2019/12/2,瓦城,27291,櫃檯買賣,無擔保轉換公司債,美國標,"6,880",102,1,688,50,400,2019/12/11,富邦,"738,203,700",0.5,674,"11,341",102.81,260,107.3,107.3,,104.3,286.71
2019/11/28,嘉基,6715,集中交易市場,初上市,美國標,"4,320",60,1,545,50,400,2019/12/12,中國信託,"363,163,250",4.5,"1,780","20,249",81.98,95.12,84.07,70.8,101.93,92,
2019/11/25,和潤企業,6592,集中交易市場,初上市,美國標,"101,081",45.69,2,"14,530",30,400,2019/12/9,台新,"7,061,918,370",2.75,"7,711","279,289",60.88,125,69.86,53,130.59,82,
2019/11/21,冠星-KY     ,4439,集中交易市場,第一上市初上市,美國標,"2,519",138.6,1,346,50,400,2019/12/5,元大,"463,645,960",5,943,"8,400",172.3,262,184.06,158,,200,
2019/11/11,旭暉應材,6698,集中交易市場,初上市,美國標,"4,112",58.12,1,524,50,400,2019/11/25,兆豐,"294,786,090",5,883,"8,046",68.88,85,71.69,68,85.85,72,
2019/11/4,昇陽半導體,80281,櫃檯買賣,無擔保轉換公司債,美國標,"8,732",102,1,873,50,400,2019/11/13,富邦,"959,845,890",0.5,"1,063","31,398",108.45,136.8,109.92,109.92,,109.8,79.68
2019/10/16,安碁資訊,6690,櫃檯買賣,初上櫃,美國標,"2,672",50,2,379,50,400,2019/10/30,台新,"278,892,560",5,861,"8,579",95,130,104.38,55,130.78,130,
2019/9/23,晶碩,6491,集中交易市場,初上市,美國標,"6,800",128.81,1,977,50,400,2019/10/7,元大,"1,181,527,880",5,"1,733","15,051",166.8,205,173.75,152,198.21,179,
2019/9/10,豆府,2752,櫃檯買賣,初上櫃,美國標,"1,728",84,1,231,50,400,2019/9/25,福邦,"203,333,060",5,"1,104","9,286",115,130,117.67,105,131.68,122.5,
2019/9/6,富致,6642,櫃檯買賣,初上櫃,美國標,"2,520",26.09,1,325,50,400,2019/9/23,永豐金,"88,619,350",4.5,948,"19,120",34.3,37.19,35.17,30,39.1,38.7,
2019/9/2,鈞興-KY,4571,集中交易市場,第一上市初上市,美國標,"3,807",62.5,1,486,50,400,2019/9/17,永豐金,"311,048,540",5,"1,158","18,012",78.32,95,81.7,70,,89,
2019/9/2,新盛力,4931,櫃檯買賣,初上櫃,美國標,"4,960",15.93,1,629,50,400,2019/9/17,台新,"171,259,810",5,"1,469","31,632",33.3,70.1,34.53,18,39.41,33.6,
2019/8/30,鑫創電子,6680,櫃檯買賣,初上櫃,美國標,"1,220",50,1,157,50,400,2019/9/16,兆豐,"86,047,370",4.5,596,"5,054",68.7,80.88,70.53,60,79.25,72.5,
2019/8/27,駐龍,4572,集中交易市場,初上市,美國標,"2,924",108.53,2,370,50,400,2019/9/10,台新,"438,728,600",4.5,"1,830","17,693",147.6,164,150.04,140,166.19,159.5,
2019/8/21,大銀微系統,4576,集中交易市場,初上市,美國標,"8,280",50,1,"1,085",50,400,2019/9/4,元大,"635,292,850",5,"1,011","14,701",68.28,100,76.73,56,99.84,83,
2019/8/12,泰博三,47363,櫃檯買賣,有擔保轉換公司債,美國標,"12,752",100,1,"1,275",50,400,2019/8/21,凱基,"1,394,223,850",0.5,"1,559","54,356",107.17,140.1,109.33,109.33,,112,126.7
2019/6/14,台康生技,6589,櫃檯買賣,初上櫃,美國標,"13,607",26.96,2,"1,811",50,400,2019/6/28,凱基,"419,718,340",4.5,731,"23,140",29,37,30.85,30.85,38.3,30.8,
